amount,result,time
757,7.38344e-42,2e-06
758,1.50359e-42,1e-06
760,-1.52795e-28,1e-06
761,7.38344e-42,1e-06
762,1.48117e-42,1e-06
763,0,1e-06
765,7.38344e-42,1e-06
766,1.45875e-42,1e-06
768,-1.52795e-28,1e-06
769,7.38344e-42,1e-06
770,1.43633e-42,1e-06
771,0,1e-06
772,-1.52795e-28,1e-06
773,7.38344e-42,2e-06
774,1.41391e-42,1e-06
776,-1.52795e-28,1e-06
777,7.38344e-42,1e-06
778,1.39149e-42,1e-06
779,0,1e-06
780,-1.52795e-28,1e-06
781,7.38344e-42,1e-06
782,1.36907e-42,1e-06
783,0,1e-06
785,7.38344e-42,1e-06
786,1.34665e-42,1e-06
787,0,1e-06
788,-1.52794e-28,1e-06
789,7.38344e-42,1e-06
790,1.32423e-42,1e-06
792,-1.52794e-28,1e-06
793,7.38344e-42,1e-06
794,1.30181e-42,1e-06
795,0,1e-06
796,-1.52794e-28,1e-06
797,7.38344e-42,2e-06
798,1.27939e-42,1e-06
799,0,1e-06
800,-1.52794e-28,1e-06
801,7.38344e-42,1e-06
802,1.25696e-42,1e-06
803,0,1e-06
804,-1.52793e-28,1e-06
805,7.38344e-42,1e-06
806,1.23454e-42,1e-06
807,0,1e-06
808,-1.52793e-28,1e-06
809,7.38344e-42,1e-06
810,1.21212e-42,1e-06
811,0,1e-06
812,-1.52793e-28,1e-06
813,7.38344e-42,1e-06
814,1.1897e-42,1e-06
815,0,1e-06
816,-1.52793e-28,1e-06
817,7.38344e-42,1e-06
818,1.16728e-42,1e-06
819,0,1e-06
820,-1.52793e-28,1e-06
821,7.38344e-42,1e-06
822,1.14486e-42,1e-06
825,7.38344e-42,1e-06
826,1.12244e-42,1e-06
827,0,1e-06
829,7.38344e-42,1e-06
830,1.10002e-42,1e-06
832,-1.52792e-28,1e-06
833,7.38344e-42,1e-06
835,0,1e-06
836,-1.52792e-28,1e-06
837,7.38344e-42,1e-06
838,1.05518e-42,1e-06
839,0,1e-06
841,7.38344e-42,1e-06
842,1.03276e-42,1e-06
845,7.38344e-42,1e-06
846,1.01034e-42,1e-06
847,0,1e-06
848,-1.52791e-28,1e-06
849,7.38344e-42,1e-06
850,9.87915e-43,1e-06
851,0,1e-06
852,-1.52791e-28,1e-06
853,7.38344e-42,1e-06
855,0,1e-06
857,7.38344e-42,1e-06
858,9.43074e-43,1e-06
859,0,1e-06
860,-1.52791e-28,1e-06
861,7.38344e-42,1e-06
863,0,1e-06
865,7.38344e-42,1e-06
867,0,1e-06
869,7.38344e-42,1e-06
870,8.75812e-43,1e-06
872,-1.5279e-28,1e-06
873,7.38344e-42,1e-06
874,8.53391e-43,1e-06
875,0,1e-06
876,-1.5279e-28,1e-06
877,7.38344e-42,1e-06
878,8.3097e-43,1e-06
879,0,1e-06
880,-1.5279e-28,1e-06
881,7.38344e-42,1e-06
882,8.08549e-43,1e-06
883,0,1e-06
885,7.38344e-42,1e-06
886,7.86128e-43,1e-06
887,0,1e-06
888,-1.52789e-28,1e-06
889,7.38344e-42,2e-06
890,7.63708e-43,1e-06
891,0,1e-06
892,-1.52789e-28,1e-06
893,7.38344e-42,2e-06
894,7.41287e-43,1e-06
895,0,1e-06
896,-1.52789e-28,1e-06
897,7.38344e-42,1e-06
898,7.18866e-43,1e-06
899,0,1e-06
901,7.38344e-42,1e-06
903,0,1e-06
904,-1.52789e-28,1e-06
905,7.38344e-42,1e-06
906,6.74025e-43,1e-06
907,0,1e-06
908,-1.52788e-28,1e-06
909,7.38344e-42,1e-06
910,6.51604e-43,1e-06
911,0,1e-06
912,-1.52788e-28,1e-06
913,7.38344e-42,1e-06
914,6.29183e-43,1e-06
915,0,1e-06
916,-1.52788e-28,1e-06
917,7.38344e-42,1e-06
918,6.06762e-43,1e-06
921,7.38344e-42,1e-06
922,5.84341e-43,1e-06
923,0,1e-06
925,7.38344e-42,1e-06
926,5.61921e-43,1e-06
927,0,1e-06
928,-1.52787e-28,1e-06
929,7.38344e-42,1e-06
931,0,1e-06
932,-1.52787e-28,1e-06
933,7.38344e-42,1e-06
934,5.17079e-43,1e-06
935,0,1e-06
936,-1.52787e-28,2e-06
937,7.38344e-42,1e-06
938,4.94658e-43,1e-06
939,0,1e-06
940,-1.52787e-28,1e-06
941,7.38344e-42,1e-06
942,4.72238e-43,2e-06
943,0,1e-06
944,-1.52787e-28,1e-06
945,7.38344e-42,1e-06
946,4.49817e-43,2e-06
947,0,2e-06
948,-1.52787e-28,1e-06
949,7.38344e-42,1e-06
950,4.27396e-43,2e-06
951,0,2e-06
952,-1.52786e-28,1e-06
953,7.38344e-42,2e-06
954,4.04975e-43,2e-06
955,0,2e-06
956,-1.52786e-28,1e-06
957,7.38344e-42,1e-06
958,3.82554e-43,1e-06
959,0,2e-06
960,-1.52786e-28,2e-06
961,7.38344e-42,1e-06
962,3.60134e-43,1e-06
963,0,1e-06
964,-1.52786e-28,1e-06
965,7.38344e-42,1e-06
966,3.37713e-43,1e-06
967,0,2e-06
968,-1.52786e-28,1e-06
969,7.38344e-42,1e-06
970,3.15292e-43,1e-06
971,0,2e-06
972,-4.61524e-18,1e-06
973,7.38344e-42,1e-06
974,2.92871e-43,1e-06
975,0,1e-06
976,-1.52785e-28,1e-06
977,7.38344e-42,1e-06
978,2.70451e-43,1e-06
979,0,1e-06
980,-1.52785e-28,1e-06
981,7.38344e-42,1e-06
982,2.4803e-43,1e-06
983,0,1e-06
984,-1.52785e-28,1e-06
985,7.38344e-42,1e-06
986,2.25609e-43,1e-06
987,0,1e-06
988,-1.52785e-28,1e-06
989,7.38344e-42,1e-06
990,2.03188e-43,1e-06
992,-1.52784e-28,1e-06
993,7.38344e-42,1e-06
994,1.80768e-43,1e-06
995,0,1e-06
996,-1.52784e-28,1e-06
997,7.38344e-42,1e-06
998,1.58347e-43,1e-06
999,0,1e-06
1000,-1.52784e-28,2e-06
1001,7.38344e-42,1e-06
1002,1.35926e-43,1e-06
1003,0,1e-06
1004,-4.61272e-18,1e-06
1005,7.38344e-42,1e-06
1006,1.13505e-43,1e-06
1007,0,1e-06
1008,-1.52784e-28,1e-06
1009,7.38344e-42,1e-06
1010,9.10844e-44,1e-06
1011,0,1e-06
1012,-1.52783e-28,1e-06
1013,7.38344e-42,1e-06
1014,6.86636e-44,1e-06
1015,0,1e-06
1016,-1.52783e-28,1e-06
1017,7.38344e-42,1e-06
1018,4.62428e-44,1e-06
1019,0,1e-06
1021,7.38344e-42,1e-06
1022,-1.52783e-28,1e-06
