amount,result,time
99800,0,1e-06
99900,14272,0.012639
100000,0,0
100100,0,0
100200,14315,0.016767
100300,0,1e-06
100400,0,1e-06
100500,0,1e-06
100600,0,2e-06
100700,0,1e-06
100800,0,1e-06
100900,14415,0.018852
101000,0,1e-06
101100,0,1e-06
101200,14458,0.014273
101300,0,1e-06
101400,0,1e-06
101500,0,1e-06
101600,0,1e-06
101700,0,1e-06
101800,0,0
101900,14558,0.014707
102000,0,1e-06
102100,0,1e-06
102200,14600,0.016217
102300,0,1e-06
102400,0,1e-06
102500,0,1e-06
102600,0,1e-06
102700,0,0
102800,0,1e-06
102900,14700,0.014037
103000,0,1e-06
103100,0,0
103200,14743,0.014368
103300,0,1e-06
103400,0,1e-06
103500,14786,0.013697
103600,0,1e-06
103700,14815,0.0132
103800,0,1e-06
103900,0,0
104000,14858,0.013346
104100,0,1e-06
104200,0,1e-06
104300,14900,0.013947
104400,0,1e-06
104500,0,1e-06
104600,0,1e-06
104700,0,1e-06
104800,0,1e-06
104900,0,1e-06
105000,15000,0.014563
105100,0,1e-06
105200,0,0
105300,15043,0.014448
105400,0,0
105500,0,1e-06
105600,0,1e-06
105700,0,1e-06
105800,0,0
105900,0,0
106000,15143,0.014918
106100,0,1e-06
106200,0,1e-06
106300,15186,0.01494
106400,0,0
106500,0,1e-06
106600,0,0
106700,0,1e-06
106800,0,1e-06
106900,0,1e-06
107000,15286,0.014912
107100,0,1e-06
107200,0,2e-06
107300,15329,0.015132
107400,0,1e-06
107500,0,2e-06
107600,15372,0.014194
107700,0,0
107800,15400,0.013041
107900,0,1e-06
108000,0,1e-06
108100,15443,0.013312
108200,0,1e-06
108300,0,1e-06
108400,15486,0.014228
108500,0,1e-06
108600,0,1e-06
108700,0,0
108800,0,2e-06
108900,0,1e-06
109000,0,0
109100,15586,0.015109
109200,0,2e-06
109300,0,0
109400,15629,0.014813
109500,0,0
109600,0,1e-06
109700,0,1e-06
109800,0,1e-06
109900,0,1e-06
110000,0,1e-06
110100,15729,0.014916
110200,0,1e-06
110300,0,0
110400,15772,0.014517
110500,0,1e-06
110600,0,1e-06
110700,0,0
110800,0,0
110900,0,1e-06
111000,0,1e-06
111100,15872,0.014992
111200,0,1e-06
111300,0,1e-06
111400,15915,0.015079
111500,0,1e-06
111600,0,1e-06
111700,15958,0.014242
111800,0,0
111900,15986,0.01352
112000,0,1e-06
112100,0,1e-06
112200,16029,0.014157
112300,0,1e-06
112400,0,1e-06
112500,16072,0.014653
112600,0,0
112700,0,1e-06
112800,0,1e-06
112900,0,1e-06
113000,0,0
113100,0,1e-06
113200,16172,0.01513
113300,0,1e-06
113400,0,1e-06
113500,16215,0.015301
113600,0,1e-06
113700,0,2e-06
113800,0,1e-06
113900,0,1e-06
114000,0,0
114100,0,1e-06
114200,16315,0.016361
114300,0,1e-06
114400,0,1e-06
114500,16358,0.014973
114600,0,1e-06
114700,0,1e-06
114800,0,0
114900,0,1e-06
115000,0,1e-06
115100,0,0
115200,16458,0.015476
115300,0,1e-06
115400,0,1e-06
115500,16500,0.015646
115600,0,1e-06
